Arm,Family,OutputBasis,Group,Qubits,GatesPerPair,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Time_stdev_s,Peak_RSS_MB,Baseline_RSS_MB,RSS_Delta_MB,RSS_Samples,TraceMalloc_Peak_MB,Gates_total,Gates_2q,Depth,Fallbacks,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,5,5,success,0.0091999,0.009422,0.0113629,0.000907988,227.25,223.5117188,3.73828125,48,0.114883423,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,5,5,success,0.002289,0.0024189,0.0025337,9.69E-05,156.5078125,155.7109375,0.796875,76,0.133143425,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,5,5,success,0.0139946,0.0141852,0.0143061,0.000115922,156.3398438,156.0390625,0.30078125,11,0.132235527,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,6,5,success,0.0092387,0.0099365,0.0103158,0.00040868,225.4414063,223.265625,2.17578125,48,0.113089561,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,6,5,success,0.0022665,0.002372,0.0024117,5.52E-05,156.6171875,155.8164063,0.80078125,74,0.133143425,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,6,5,success,0.0142541,0.0147122,0.0202589,0.002985522,156.734375,156.4609375,0.2734375,13,0.146787643,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,7,5,success,0.0090276,0.0095147,0.0117664,0.0010843,223.2539063,220.8242188,2.4296875,48,0.114871025,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,7,5,success,0.0022981,0.0023366,0.0025705,0.000111518,156.3085938,155.4101563,0.8984375,58,0.133143425,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,7,5,success,0.0143764,0.0144588,0.014628,9.51E-05,156.5117188,156.2382813,0.2734375,10,0.132235527,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,8,5,success,0.0092562,0.0099749,0.0120802,0.00110909,225.4453125,222.4375,3.0078125,40,0.118157387,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,8,5,success,0.0022425,0.0023065,0.0023468,4.16E-05,157.1054688,156.1289063,0.9765625,81,0.133143425,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,8,5,success,0.0142122,0.0151816,0.0188096,0.001845399,156.1835938,155.921875,0.26171875,80,0.156873703,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,9,5,success,0.0097267,0.0102063,0.011219,0.000560693,228.1875,223.8203125,4.3671875,41,0.116676331,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,9,5,success,0.0023519,0.0024635,0.003252,0.000364567,156.265625,155.5703125,0.6953125,87,0.13257885,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,9,5,success,0.014604,0.014822,0.0151327,0.000197136,156.3554688,156.0546875,0.30078125,28,0.132235527,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,10,5,success,0.0102092,0.0114569,0.0160131,0.00251316,221.90625,220.5546875,1.3515625,43,0.113775253,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,10,5,success,0.002372,0.0024621,0.0028041,0.000173463,156.609375,155.8867188,0.72265625,85,0.131281853,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,10,5,success,0.0147665,0.015364,0.0160486,0.000460551,156.1445313,155.8710938,0.2734375,50,0.132231712,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,100,20,1,5,success,0.0150085,0.015274,0.0163719,0.000618475,235.9179688,231.1445313,4.7734375,46,0.124542236,1400,150,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,100,20,1,5,success,0.0044569,0.0046818,0.0056899,0.000510542,159.3242188,157.8164063,1.5078125,67,0.260508537,750,150,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,100,20,1,5,success,0.0297436,0.0310712,0.0336185,0.001417519,158.875,158.015625,0.859375,21,0.268168449,750,150,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,100,20,2,5,success,0.0164628,0.0167686,0.0177577,0.000590907,236.2148438,233.4101563,2.8046875,40,0.118495941,1400,150,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,100,20,2,5,success,0.0046336,0.004858,0.0051821,0.00022874,159.2421875,157.8125,1.4296875,69,0.257655144,750,150,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,100,20,2,5,success,0.028395,0.0296894,0.0379743,0.003847957,159.2773438,158.421875,0.85546875,10,0.268164635,750,150,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
