run,seed,iteration,loss
ideal_deep_opt,1,24,-11.352119051633775
ideal_deep_opt,1,25,-11.411097023736914
ideal_deep_opt,1,26,-11.475416024261582
ideal_deep_opt,1,27,-11.500612517037553
ideal_deep_opt,1,28,-11.505586250340809
ideal_deep_opt,1,29,-11.532713407989414
ideal_deep_opt,1,30,-11.561410119510672
ideal_deep_opt,1,31,-11.586063281956127
ideal_deep_opt,1,32,-11.618442536349288
ideal_deep_opt,1,33,-11.656249757189263
ideal_deep_opt,1,34,-11.687521378157415
ideal_deep_opt,1,35,-11.720563633669272
ideal_deep_opt,1,36,-11.77020354982707
ideal_deep_opt,1,37,-11.78774840161514
ideal_deep_opt,1,38,-11.790038393126544
ideal_deep_opt,1,39,-11.807512784185587
ideal_deep_opt,2,0,-0.20428149038431911
ideal_deep_opt,2,1,-1.9544929875828116
ideal_deep_opt,2,2,-4.575056272327596
ideal_deep_opt,2,3,-6.455547176450502
ideal_deep_opt,2,4,-6.497239045525662
ideal_deep_opt,2,5,-7.873567633136516
ideal_deep_opt,2,6,-8.924431382369551
ideal_deep_opt,2,7,-8.427659491956366
ideal_deep_opt,2,8,-8.66003390179382
ideal_deep_opt,2,9,-9.278119482315338
ideal_deep_opt,2,10,-9.424542819564106
ideal_deep_opt,2,11,-9.32985783574759
ideal_deep_opt,2,12,-9.43931794596042
ideal_deep_opt,2,13,-9.679647131467014
ideal_deep_opt,2,14,-9.971390773201541
ideal_deep_opt,2,15,-10.221937077030455
ideal_deep_opt,2,16,-10.374107556508323
ideal_deep_opt,2,17,-10.562887969459734
ideal_deep_opt,2,18,-10.663891839212575
ideal_deep_opt,2,19,-10.653275190855668
ideal_deep_opt,2,20,-10.717804556733114
ideal_deep_opt,2,21,-10.788324400371218
ideal_deep_opt,2,22,-10.88572322351884
ideal_deep_opt,2,23,-10.958617431506504
ideal_deep_opt,2,24,-11.019609116338597
ideal_deep_opt,2,25,-11.107589980783473
ideal_deep_opt,2,26,-11.153564796328356
ideal_deep_opt,2,27,-11.1433847021392
ideal_deep_opt,2,28,-11.149397585578528
ideal_deep_opt,2,29,-11.195248879330702
