Topology,AvgDegree,Physical,Spare,Qubits,Arm,Level,PSF_RL,Reps,TimeBudget_s,PerAttemptCallLimit,PSFInitialLayoutMode,SmartSearch_s,SmartFound,SmartPhase,SmartOrder,SmartOrderingsTried,Status,Time_min_s,Time_median_s,Time_max_s,Spread_max_over_min,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx
diluted_p0.75,2.875,64,0,64,qiskit_opt2,2,2,1,2,50000,FALSE,,,,,,success,0.1198849,0.1198849,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2_smart,2,2,1,2,50000,FALSE,0.3294144,TRUE,2,heuristic_natural,7,success,0.3641556,0.3641556,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,psf_rl2,2,2,1,2,50000,FALSE,,,,,,success,0.1973462,0.1973462,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,psf_rl2_smart,2,2,1,2,50000,FALSE,0.2576651,TRUE,2,heuristic_natural,7,TypeError: compile_for_hardware() got an unexpected keyword argument 'initial_layout',,,,,,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,qiskit_opt2,2,2,1,2,50000,FALSE,,,,,,success,0.036295,0.036295,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,qiskit_opt2_smart,2,2,1,2,50000,FALSE,0.0044758,TRUE,1,bfs_from_max_degree,1,success,0.0370693,0.0370693,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,psf_rl2,2,2,1,2,50000,FALSE,,,,,,success,0.0505595,0.0505595,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,psf_rl2_smart,2,2,1,2,50000,FALSE,0.0044618,TRUE,1,bfs_from_max_degree,1,TypeError: compile_for_hardware() got an unexpected keyword argument 'initial_layout',,,,,,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2,2,2,1,2,50000,FALSE,,,,,,success,2.1651245,2.1651245,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2_smart,2,2,1,2,50000,FALSE,0.0272077,TRUE,1,bfs_from_min_degree,2,success,0.0611643,0.0611643,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,psf_rl2,2,2,1,2,50000,FALSE,,,,,,success,1.8061893,1.8061893,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,psf_rl2_smart,2,2,1,2,50000,FALSE,0.027351,TRUE,1,bfs_from_min_degree,2,TypeError: compile_for_hardware() got an unexpected keyword argument 'initial_layout',,,,,,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,qiskit_opt2,2,2,1,2,50000,FALSE,,,,,,success,0.0286949,0.0286949,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,qiskit_opt2_smart,2,2,1,2,50000,FALSE,0.0032462,TRUE,1,bfs_from_max_degree,1,success,0.0279501,0.0279501,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,psf_rl2,2,2,1,2,50000,FALSE,,,,,,success,0.0350584,0.0350584,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,psf_rl2_smart,2,2,1,2,50000,FALSE,0.0035105,TRUE,1,bfs_from_max_degree,1,TypeError: compile_for_hardware() got an unexpected keyword argument 'initial_layout',,,,,,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
