backend,layers,blocks,circuit,arm,twoq,depth,size,layout,tvd_noisy,tvd_ideal,psf_fallbacks
fake_marrakesh,1,2,9,Q3,6,20,68,"[14, 13, 5, 6]",0.019613833359292808,0.019522318874276384,
fake_marrakesh,1,2,9,P,6,24,76,"[14, 13, 5, 6]",0.019363833359292808,0.019522318874276384,0
fake_marrakesh,1,2,9,Z,6,24,76,"[14, 13, 5, 6]",0.019613833359292808,0.019522318874276384,
fake_marrakesh,2,3,0,Q3,9,34,90,"[14, 13, 12, 11]",0.021443897694171273,0.018327447501723094,
fake_marrakesh,2,3,0,P,9,42,102,"[14, 13, 12, 11]",0.02107768254092446,0.018327447501723094,0
fake_marrakesh,2,3,0,Z,9,42,102,"[14, 13, 12, 11]",0.02163166779853439,0.018327447501723094,
fake_marrakesh,2,3,1,Q3,9,34,90,"[14, 13, 12, 11]",0.023567280049890067,0.020700797583628087,
fake_marrakesh,2,3,1,P,9,42,102,"[14, 13, 12, 11]",0.024067280049890068,0.020700797583628087,0
fake_marrakesh,2,3,1,Z,9,42,102,"[14, 13, 12, 11]",0.023692726610936396,0.020700797583628087,
fake_marrakesh,2,3,2,Q3,9,34,90,"[14, 13, 12, 11]",0.02750376825140891,0.02140034675140952,
fake_marrakesh,2,3,2,P,9,42,102,"[14, 13, 12, 11]",0.03000376825140891,0.02140034675140952,0
fake_marrakesh,2,3,2,Z,9,42,102,"[14, 13, 12, 11]",0.02925376825140891,0.02140034675140952,
fake_marrakesh,2,3,3,Q3,9,34,90,"[14, 13, 12, 11]",0.02503149399653169,0.020442365263780383,
fake_marrakesh,2,3,3,P,9,42,102,"[14, 13, 12, 11]",0.024781493996531664,0.020442365263780383,0
fake_marrakesh,2,3,3,Z,9,42,102,"[14, 13, 12, 11]",0.02228149399653169,0.020442365263780383,
fake_marrakesh,2,3,4,Q3,9,34,90,"[14, 13, 12, 11]",0.0171084662933152,0.017229339394966764,
fake_marrakesh,2,3,4,P,9,42,102,"[14, 13, 12, 11]",0.0171084662933152,0.017229339394966764,0
fake_marrakesh,2,3,4,Z,9,42,102,"[14, 13, 12, 11]",0.018108466293315202,0.017229339394966764,
fake_marrakesh,2,3,5,Q3,9,34,90,"[14, 13, 12, 11]",0.020339294428362045,0.02066880887845198,
fake_marrakesh,2,3,5,P,9,42,102,"[14, 13, 12, 11]",0.022190635489428224,0.02066880887845198,0
fake_marrakesh,2,3,5,Z,9,42,102,"[14, 13, 12, 11]",0.021839294428362046,0.02066880887845198,
fake_marrakesh,2,3,6,Q3,9,34,90,"[14, 13, 12, 11]",0.01828786507568159,0.014901886375384423,
fake_marrakesh,2,3,6,P,9,42,102,"[14, 13, 12, 11]",0.017408305691985163,0.014901886375384423,0
fake_marrakesh,2,3,6,Z,9,42,102,"[14, 13, 12, 11]",0.017408305691985163,0.014901886375384423,
fake_marrakesh,2,3,7,Q3,9,34,90,"[14, 13, 12, 11]",0.030720482825260603,0.02594232329433234,
fake_marrakesh,2,3,7,P,9,42,102,"[14, 13, 12, 11]",0.0307204828252606,0.02594232329433234,0
fake_marrakesh,2,3,7,Z,9,42,102,"[14, 13, 12, 11]",0.031470482825260604,0.02594232329433234,
fake_marrakesh,2,3,8,Q3,9,34,90,"[14, 13, 12, 11]",0.030024796810970145,0.023746873420003596,
fake_marrakesh,2,3,8,P,9,42,102,"[14, 13, 12, 11]",0.029033636778955436,0.023746873420003596,0
fake_marrakesh,2,3,8,Z,9,42,102,"[14, 13, 12, 11]",0.03002479681097015,0.023746873420003596,
