Workload,Arm,Family,Qubits,Seed,Reps,Status,Time_min_s,Time_median_s,Time_stdev_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Off_Basis,PSF_Blocks,Peak_RSS_MB,RSS_Delta_MB,TraceMalloc_Peak_MB,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
dense,qiskit_opt3,Qiskit,156,2,3,success,28.017522799999824,32.86483739999949,2.83194584536439,240,35,0,,,245.51171875,3.44921875,0.3493318557739258,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,156,2,3,success,0.050257500000043365,0.056419999999889114,0.004361004139086821,240,44,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,218.27734375,0.53515625,0.4299802780151367,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,156,2,3,success,1.1446954000002734,1.1623776999995243,0.011698397703972492,240,35,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,216.71484375,0.859375,0.4290313720703125,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,156,3,3,success,0.07292669999969803,0.07503100000030827,0.0018790459259040973,4686,453,0,,,274.51171875,4.078125,0.34075164794921875,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,156,3,3,success,1.1350074999991193,1.171150199999829,0.05556335306512899,240,35,0,,,245.67578125,1.2578125,0.3508186340332031,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,156,3,3,success,27.28558359999988,30.35795159999998,1.8259601960155807,240,35,0,,,245.77734375,0.5078125,0.35183143615722656,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,156,3,3,success,0.052029399999810266,0.055935900000804395,0.002922093291476416,240,44,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,218.09765625,0.1484375,0.4350252151489258,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,156,3,3,success,1.1337194999996427,1.1613059999999678,0.01611777990512732,240,35,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,217.16796875,1.0625,0.4219512939453125,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,300,1,3,success,0.07492069999989326,0.07585400000061782,0.0018219524205753655,9000,225,0,,,287.390625,0.7734375,0.6751775741577148,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,300,1,3,success,0.05996229999982461,0.06050890000005893,0.0018213767384410934,450,16,0,,,283.37109375,1.18359375,0.6838283538818359,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
