part,spare,seed,rep,pass_name,seconds
A-L1,0,3,2,FixedPoint,1.8358230590820312e-05
A-L1,0,3,2,Optimize1qGatesDecomposition,0.0018227100372314453
A-L1,0,3,2,GatesInBasis,0.00013589859008789062
A-L1,0,3,3,ContainsInstruction,9.775161743164062e-06
A-L1,0,3,3,UnitarySynthesis,6.198883056640625e-06
A-L1,0,3,3,HighLevelSynthesis,0.0001285076141357422
A-L1,0,3,3,BasisTranslator,0.0011548995971679688
A-L1,0,3,3,InverseCancellation,0.0002193450927734375
A-L1,0,3,3,ContractIdleWiresInControlFlow,4.0531158447265625e-06
A-L1,0,3,3,SetLayout,7.033348083496094e-05
A-L1,0,3,3,FullAncillaAllocation,2.2411346435546875e-05
A-L1,0,3,3,EnlargeWithAncilla,1.9073486328125e-06
A-L1,0,3,3,ApplyLayout,0.0002086162567138672
A-L1,0,3,3,CheckMap,7.295608520507812e-05
A-L1,0,3,3,FilterOpNodes,0.0003662109375
A-L1,0,3,3,Size,6.67572021484375e-06
A-L1,0,3,3,Depth,0.0001857280731201172
A-L1,0,3,3,FixedPoint,1.8358230590820312e-05
A-L1,0,3,3,Optimize1qGatesDecomposition,0.002814769744873047
A-L1,0,3,3,GatesInBasis,0.00012636184692382812
A-L1,0,3,4,ContainsInstruction,1.0251998901367188e-05
A-L1,0,3,4,UnitarySynthesis,7.3909759521484375e-06
A-L1,0,3,4,HighLevelSynthesis,0.0001270771026611328
A-L1,0,3,4,BasisTranslator,0.002397775650024414
A-L1,0,3,4,InverseCancellation,0.0002474784851074219
A-L1,0,3,4,ContractIdleWiresInControlFlow,4.5299530029296875e-06
A-L1,0,3,4,SetLayout,5.936622619628906e-05
A-L1,0,3,4,FullAncillaAllocation,2.193450927734375e-05
A-L1,0,3,4,EnlargeWithAncilla,2.86102294921875e-06
A-L1,0,3,4,ApplyLayout,0.00022935867309570312
A-L1,0,3,4,CheckMap,6.818771362304688e-05
A-L1,0,3,4,FilterOpNodes,0.00036907196044921875
A-L1,0,3,4,Size,7.152557373046875e-06
