Arm,Family,OutputBasis,Group,Qubits,GatesPerPair,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Time_stdev_s,Peak_RSS_MB,Baseline_RSS_MB,RSS_Delta_MB,RSS_Samples,TraceMalloc_Peak_MB,Gates_total,Gates_2q,Depth,Fallbacks,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,6,5,success,0.014254099998652237,0.014712200001667952,0.020258900000044378,0.002985522418279409,156.734375,156.4609375,0.2734375,13,0.1467876434326172,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,7,5,success,0.009027600000990788,0.009514699999272125,0.011766400002670707,0.0010842997997503212,223.25390625,220.82421875,2.4296875,48,0.11487102508544922,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,7,5,success,0.002298099996551173,0.002336600002308842,0.0025704999970912468,0.000111517724119749,156.30859375,155.41015625,0.8984375,58,0.13314342498779297,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,7,5,success,0.01437640000222018,0.0144588000002841,0.01462800000081188,9.506351535434566e-05,156.51171875,156.23828125,0.2734375,10,0.13223552703857422,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,8,5,success,0.009256200002710102,0.009974900000088383,0.012080199998308672,0.0011090899695831162,225.4453125,222.4375,3.0078125,40,0.11815738677978516,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,8,5,success,0.0022425000024668407,0.002306500002305256,0.0023467999999411404,4.163348396589665e-05,157.10546875,156.12890625,0.9765625,81,0.13314342498779297,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,8,5,success,0.0142121999997471,0.015181599999777973,0.018809600001986837,0.0018453985017574475,156.18359375,155.921875,0.26171875,80,0.1568737030029297,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,9,5,success,0.009726699998282129,0.010206299997662427,0.01121899999998277,0.0005606930244787934,228.1875,223.8203125,4.3671875,41,0.11667633056640625,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,9,5,success,0.0023518999987572897,0.0024635000008856878,0.0032519999986106995,0.0003645670892801819,156.265625,155.5703125,0.6953125,87,0.13257884979248047,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,9,5,success,0.01460399999996298,0.014822000001004199,0.015132699998503085,0.00019713623407608462,156.35546875,156.0546875,0.30078125,28,0.13223552703857422,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,10,5,success,0.010209200001554564,0.011456899999757297,0.016013100001146086,0.0025131598648288783,221.90625,220.5546875,1.3515625,43,0.11377525329589844,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,10,5,success,0.0023719999990134966,0.0024621000011393335,0.00280410000050324,0.0001734628548377839,156.609375,155.88671875,0.72265625,85,0.13128185272216797,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,10,5,success,0.01476649999676738,0.015364000002591638,0.01604859999861219,0.0004605511354608656,156.14453125,155.87109375,0.2734375,50,0.1322317123413086,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,100,20,1,5,success,0.015008499998657499,0.015273999997589272,0.016371899997466244,0.0006184747225548514,235.91796875,231.14453125,4.7734375,46,0.124542236328125,1400,150,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,100,20,1,5,success,0.00445689999833121,0.004681800000980729,0.005689899997378234,0.0005105415592665159,159.32421875,157.81640625,1.5078125,67,0.26050853729248047,750,150,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,100,20,1,5,success,0.029743600000074366,0.03107119999913266,0.03361849999782862,0.0014175191287532538,158.875,158.015625,0.859375,21,0.26816844940185547,750,150,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,100,20,2,5,success,0.016462799998407718,0.016768599998613354,0.017757699999492615,0.0005909065691662869,236.21484375,233.41015625,2.8046875,40,0.11849594116210938,1400,150,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,100,20,2,5,success,0.0046335999977600295,0.004858000000240281,0.0051820999979099724,0.0002287403836578098,159.2421875,157.8125,1.4296875,69,0.25765514373779297,750,150,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,100,20,2,5,success,0.02839500000118278,0.02968940000209841,0.03797430000122404,0.0038479570777396658,159.27734375,158.421875,0.85546875,10,0.26816463470458984,750,150,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
