family,eps,seed,method,aligned_err,twoq
"(0.6,0.3,e)",0.0005623413251903491,202,decomposer ZSX (as PSF-Zero),1.330229431916e-13,3
"(0.6,0.3,e)",0.0005623413251903491,202,decomposer default Euler,3.187674635398562e-15,3
"(0.6,0.3,e)",0.0005623413251903491,202,"transpile L1 [cx,rz,sx,x]",1.330229431916e-13,3
"(0.6,0.3,e)",0.0005623413251903491,202,"transpile L2 [cx,rz,sx,x]",1.330229431916e-13,3
"(0.6,0.3,e)",0.0005623413251903491,202,"transpile L3 [cx,rz,sx,x]",1.330229431916e-13,3
"(0.6,0.3,e)",0.0005623413251903491,202,transpile L1 GenericBackendV2 cz,6.904084680168515e-14,3
"(0.6,0.3,e)",0.0005623413251903491,202,transpile L3 GenericBackendV2 cz,2.9318761564039016e-15,3
"(0.6,0.3,e)",0.0005623413251903491,202,PSF-Zero old path,6.901182659974093e-14,3
"(0.6,0.3,e)",0.0005623413251903491,202,PSF-Zero closed form,1.2643123596069717e-15,3
"(0.6,0.3,e)",0.00031622776601683794,13,decomposer ZSX (as PSF-Zero),2.386731282661512e-13,3
"(0.6,0.3,e)",0.00031622776601683794,13,decomposer default Euler,2.7707004312035613e-15,3
"(0.6,0.3,e)",0.00031622776601683794,13,"transpile L1 [cx,rz,sx,x]",2.386731282661512e-13,3
"(0.6,0.3,e)",0.00031622776601683794,13,"transpile L2 [cx,rz,sx,x]",2.386731282661512e-13,3
"(0.6,0.3,e)",0.00031622776601683794,13,"transpile L3 [cx,rz,sx,x]",2.386731282661512e-13,3
"(0.6,0.3,e)",0.00031622776601683794,13,transpile L1 GenericBackendV2 cz,1.2332896332253234e-13,3
"(0.6,0.3,e)",0.00031622776601683794,13,transpile L3 GenericBackendV2 cz,3.2015829491960215e-15,3
"(0.6,0.3,e)",0.00031622776601683794,13,PSF-Zero old path,1.2350994298474652e-13,3
"(0.6,0.3,e)",0.00031622776601683794,13,PSF-Zero closed form,1.1268387694495183e-15,3
"(0.6,0.3,e)",0.00031622776601683794,101,decomposer ZSX (as PSF-Zero),2.350567573712383e-13,3
"(0.6,0.3,e)",0.00031622776601683794,101,decomposer default Euler,3.550268300121872e-15,3
"(0.6,0.3,e)",0.00031622776601683794,101,"transpile L1 [cx,rz,sx,x]",2.350567573712383e-13,3
