pair,err_psf,err_qiskit,weyl_a,weyl_b,weyl_c,gap_eig,gap_re,gap_im
48,4.34062035484591e-12,1.6706393375837523e-14,0.6018290645173909,0.3337735657776885,-0.0056349429560897946,1.0215929617170445,0.011512992412133771,0.43803713392006227
49,6.31590305341415e-15,9.212687671152575e-15,0.5215769810913056,0.43652789748068255,-0.1912533838401842,0.3385582007390435,0.12636591673373254,0.3140912453025424
50,6.245396801681535e-15,2.280826500177031e-14,0.693157026393159,0.39615998326700197,-0.11684594912206414,1.0600466444676018,0.2592087915850205,0.19445243063857987
51,4.6653789907487045e-14,1.1920228068958446e-14,0.7441515344240015,0.4407339688940616,-0.034990085801600124,1.140541033692836,0.07975012767028078,0.11953105172785705
52,1.2053562298437398e-14,6.719067123114066e-15,0.6835416161266044,0.27037076640082347,0.1773034463493719,0.37012338754035684,0.36247002995336913,0.07487856428880602
53,4.1051204799442e-15,4.14161188236513e-15,0.6804102473766722,0.5372651710474008,0.2289640534434616,0.5647906539838082,0.24968865627412795,0.24106339308723668
54,5.792708988121085e-15,4.186646485492865e-15,0.7402086368555079,0.39032014708978924,0.31420816452058187,0.30327350701235717,0.3020357243135215,0.0273722723569072
55,9.902320059315338e-15,7.858857952043389e-15,0.6009296770237791,0.2941176229751439,0.05088385240799054,0.9350123076598901,0.11700044659507258,0.33718800789679426
56,2.8662992049386964e-14,7.500154235164467e-15,0.7630111632732035,0.5501012526278763,-0.024438592142881355,0.826135064095645,0.04036308019956625,0.07770902875585484
57,4.205286470535394e-12,1.0621169395493025e-14,0.7419493802836872,0.191581216126398,-0.029356332852159106,0.6375746168336401,0.1046293739395931,0.055333981551420774
58,5.162362812323619e-13,3.132447586259679e-15,0.6291846835991737,0.23477522068577006,0.21833397468158644,0.06575313316851869,0.06257005035509133,0.02021047550252808
59,4.220599361474956e-13,2.603622881115415e-15,0.648793171107541,0.38162241803458197,0.25617323190984165,0.496548606665592,0.4781314841275887,0.1339806055647239
