Seed,Arm,Rep,Time_s,StopReason,CPU_before_pct,Wallclock,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
3,tuple_10k,18,0.33538599999883445,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352261.0418267,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,19,0.327346200001557,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352261.4278324,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,0,0.33150279999972554,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352262.1358213,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,1,0.3253574000009394,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352262.5140421,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,2,0.3249952000005578,VF2LayoutStopReason.NO_SOLUTION_FOUND,5.7,1789352262.8935657,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,3,0.3261765999995987,VF2LayoutStopReason.NO_SOLUTION_FOUND,5.9,1789352263.2751348,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,4,0.3245307999986835,VF2LayoutStopReason.NO_SOLUTION_FOUND,16.2,1789352263.6392832,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,5,0.3282193000013649,VF2LayoutStopReason.NO_SOLUTION_FOUND,8.3,1789352264.0195172,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,6,0.3254335000001447,VF2LayoutStopReason.NO_SOLUTION_FOUND,11.8,1789352264.399838,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,7,0.324558899999829,VF2LayoutStopReason.NO_SOLUTION_FOUND,5.7,1789352264.7786021,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,8,0.33277760000055423,VF2LayoutStopReason.NO_SOLUTION_FOUND,19.5,1789352265.1603608,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,9,0.3275274999996327,VF2LayoutStopReason.NO_SOLUTION_FOUND,18.6,1789352265.5389922,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,10,0.3381730000000971,VF2LayoutStopReason.NO_SOLUTION_FOUND,18.0,1789352265.9342885,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,11,0.33049899999969057,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352266.314122,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,12,0.32136540000101377,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352266.6769447,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,13,0.3219076000004861,VF2LayoutStopReason.NO_SOLUTION_FOUND,7.0,1789352267.0578563,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
