Round,Spare,Qubits,LayoutSearch,Seed,Arm,Time_s,Status,Error,FidelityCheck,FidelityDetail,Infidelity,TwoQubitGates,CouplingViolations,Depth,QiskitLevel,RoutingOptimizationLevel,Grid,Timestamp
2,8,34,-,1,qiskit_opt3,0.030769599999985076,success,,structural_only,,,51,0,16,3,1,6x7,2026-09-16T23:25:27.844896
2,8,34,False,1,psf_zero_ls0,0.015117699998882017,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:27.877154
2,8,34,True,1,psf_zero_ls1,0.015317299999878742,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:27.895350
2,8,34,-,2,qiskit_opt3,0.031171299999186886,success,,structural_only,,,51,0,16,3,1,6x7,2026-09-16T23:25:28.003481
2,8,34,False,2,psf_zero_ls0,0.01607500000136497,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:28.036443
2,8,34,True,2,psf_zero_ls1,0.015282200000001467,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:28.054561
2,16,26,-,0,qiskit_opt3,0.03675600000133272,success,,structural_only,,,39,0,16,3,1,6x7,2026-09-16T23:25:28.140752
2,16,26,False,0,psf_zero_ls0,0.01380310000058671,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:28.179245
2,16,26,True,0,psf_zero_ls1,0.014406299998881877,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:28.195532
2,16,26,-,1,qiskit_opt3,0.03652149999834364,success,,structural_only,,,39,0,16,3,1,6x7,2026-09-16T23:25:28.280305
2,16,26,False,1,psf_zero_ls0,0.013359700000364683,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:28.318477
2,16,26,True,1,psf_zero_ls1,0.014031099999556318,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:28.334497
2,16,26,-,2,qiskit_opt3,0.03628460000072664,success,,structural_only,,,39,0,16,3,1,6x7,2026-09-16T23:25:28.419877
2,16,26,False,2,psf_zero_ls0,0.014615599999160622,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:28.457260
2,16,26,True,2,psf_zero_ls1,0.014174699999784934,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:28.474383
2,24,18,-,0,qiskit_opt3,0.03930419999960577,success,,structural_only,,,27,0,16,3,1,6x7,2026-09-16T23:25:28.540029
2,24,18,False,0,psf_zero_ls0,0.013635799999974552,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:28.580700
2,24,18,True,0,psf_zero_ls1,0.013178699999116361,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:28.596564
2,24,18,-,1,qiskit_opt3,0.03939699999864388,success,,structural_only,,,27,0,16,3,1,6x7,2026-09-16T23:25:28.660277
2,24,18,False,1,psf_zero_ls0,0.013464699999531149,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:28.702450
2,24,18,True,1,psf_zero_ls1,0.0139603999996325,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:28.716779
2,24,18,-,2,qiskit_opt3,0.04157179999856453,success,,structural_only,,,27,0,16,3,1,6x7,2026-09-16T23:25:28.784841
2,24,18,False,2,psf_zero_ls0,0.014349600000059581,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:28.827706
2,24,18,True,2,psf_zero_ls1,0.0129927999987558,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:28.843188
3,0,42,-,0,qiskit_opt3,6.732993099998566,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:25:28.970573
3,0,42,False,0,psf_zero_ls0,0.029296400000021094,success,,structural_only,,,132,0,45,3,1,6x7,2026-09-16T23:25:35.707037
3,0,42,True,0,psf_zero_ls1,0.02442719999999099,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:35.739282
3,0,42,-,1,qiskit_opt3,6.700047999998787,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:25:35.890226
3,0,42,False,1,psf_zero_ls0,0.028604400000403984,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:42.595252
3,0,42,True,1,psf_zero_ls1,0.023201899999548914,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:42.626920
3,0,42,-,2,qiskit_opt3,6.712826900000437,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:25:42.765646
3,0,42,False,2,psf_zero_ls0,0.027713699999367236,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:49.481257
3,0,42,True,2,psf_zero_ls1,0.02330719999918074,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:49.511450
3,2,40,-,0,qiskit_opt3,0.026487299999644165,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:25:49.645741
3,2,40,False,0,psf_zero_ls0,0.015961900000547757,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:49.674096
3,2,40,True,0,psf_zero_ls1,0.016835899999932735,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:49.693130
3,2,40,-,1,qiskit_opt3,0.026031800000055227,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:25:49.819181
3,2,40,False,1,psf_zero_ls0,0.016777499999079737,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:49.848031
3,2,40,True,1,psf_zero_ls1,0.01741039999978966,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:49.867291
