Workload,Arm,Family,Qubits,Seed,Reps,Status,Time_min_s,Time_median_s,Time_stdev_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Off_Basis,PSF_Blocks,Peak_RSS_MB,RSS_Delta_MB,TraceMalloc_Peak_MB,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
dense,qiskit_opt3,Qiskit,300,1,3,success,0.09746719999930065,0.10633860000052664,0.009094958479851178,450,16,0,,,282.79296875,1.08984375,0.6844491958618164,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,300,1,3,success,0.039138400001320406,0.03971529999944323,0.0007436252027290098,450,23,0,,PSF-Zero Rust Core executed for 150/150 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,225.953125,2.3984375,0.8897027969360352,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,300,1,3,success,0.04314090000116266,0.04671349999989616,0.0024303382170104697,450,16,0,,PSF-Zero Rust Core executed for 150/150 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,231.828125,2.83203125,0.899744987487793,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,300,2,3,success,0.06909240000095451,0.07012960000065505,0.0006772016854658356,9000,225,0,,,311.76953125,3.75,0.6757240295410156,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,300,2,3,success,0.055557199999384466,0.05638830000134476,0.0019238531656708476,450,16,0,,,282.90625,2.3203125,0.6837682723999023,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,300,2,3,success,0.09445469999991474,0.09638819999963744,0.0012796935499561214,450,16,0,,,281.03125,1.03125,0.6841154098510742,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,300,2,3,success,0.0401320000000851,0.04104589999951713,0.0013179445145062498,450,23,0,,PSF-Zero Rust Core executed for 150/150 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,227.078125,4.56640625,0.8860874176025391,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,300,2,3,success,0.04100839999955497,0.04266049999932875,0.0009658337903499505,450,16,0,,PSF-Zero Rust Core executed for 150/150 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,233.08203125,2.91796875,0.8960685729980469,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,300,3,3,success,0.06945779999841761,0.06953170000087994,0.0014132880829045655,9000,225,0,,,315.51953125,1.58203125,0.6753807067871094,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,300,3,3,success,0.05447979999917152,0.05692129999988538,0.0024127074966566863,450,16,0,,,283.32421875,3.73046875,0.6845989227294922,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
