gc_mode,iteration,timestamp,rss_mb,w1_load_build_ms,w1_compile_ms,w1_simulate_ms,w1_total_ms,w1_z_00,w1_correct_00,w1_q0_00,w1_2q_00,w1_fp_00,w1_z_01,w1_correct_01,w1_q0_01,w1_2q_01,w1_fp_01,w1_z_10,w1_correct_10,w1_q0_10,w1_2q_10,w1_fp_10,w1_z_11,w1_correct_11,w1_q0_11,w1_2q_11,w1_fp_11,w2_synth_verify_ms,w2_compile_ms,w2_simulate_ms,w2_total_ms,w2_fallbacks,w2_gpu_worst,w2_synth_fp,w2_routed_fp,w2_2q,w2_tvd,platform
none,31,1790313191.225503,699.140625,3.428302996326238,80.47976600937545,3980.1244209811557,4064.0324899868574,-0.9225,1,112,9,206b23e28556b8c1,0.9165,1,112,9,ea25dd0e78956716,0.9245,1,112,9,51e7b224ddb318d1,-0.9295,1,112,9,230bd81105cb6279,202.12151599116623,15.646502986783162,819.0318310225848,1036.7998500005342,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05040681796291648,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,32,1790313196.3128364,699.140625,5.480513995280489,78.28104399959557,3959.927294985391,4043.6888529802673,-0.932,1,112,9,206b23e28556b8c1,0.9115,1,112,9,ea25dd0e78956716,0.9065,1,112,9,51e7b224ddb318d1,-0.924,1,112,9,230bd81105cb6279,208.267470006831,15.32217298517935,811.8692249991,1035.4588679911103,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.0480568179629165,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,33,1790313201.422866,699.140625,3.4025429922621697,77.1243330091238,3958.9484430034645,4039.4753190048505,-0.9185,1,112,9,206b23e28556b8c1,0.9165,1,112,9,ea25dd0e78956716,0.923,1,112,9,51e7b224ddb318d1,-0.9255,1,112,9,230bd81105cb6279,206.09324899851345,14.6538219996728,840.3906890016515,1061.1377599998377,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.051956817962916506,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,34,1790313206.5242476,699.140625,5.466604023240507,76.56061300076544,3971.1285429948475,4053.1557600188535,-0.926,1,112,9,206b23e28556b8c1,0.9075,1,112,9,ea25dd0e78956716,0.909,1,112,9,51e7b224ddb318d1,-0.929,1,112,9,230bd81105cb6279,205.0355679821223,14.66999200056307,820.6275120028295,1040.3330719855148,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.04875681796291649,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,35,1790313211.5258036,701.140625,3.436183003941551,78.57106401934288,3869.066199986264,3951.0734470095485,-0.9295,1,112,9,206b23e28556b8c1,0.9235,1,112,9,ea25dd0e78956716,0.9185,1,112,9,51e7b224ddb318d1,-0.92,1,112,9,230bd81105cb6279,206.72238900442608,14.460292004514486,819.7176519897766,1040.9003329987172,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.04970681796291649,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,36,1790313216.7209795,701.140625,5.4701039916835725,80.42838599067181,3965.857130009681,4051.7556199920364,-0.9235,1,112,9,206b23e28556b8c1,0.906,1,112,9,ea25dd0e78956716,0.919,1,112,9,51e7b224ddb318d1,-0.9175,1,112,9,230bd81105cb6279,208.82013102527708,18.88207599404268,905.7481019990519,1133.4503090183716,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05030681796291651,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,37,1790313222.0162897,701.140625,5.6573849869892,79.43798499763943,4072.9564070061315,4158.05177699076,-0.9265,1,112,9,206b23e28556b8c1,0.917,1,112,9,ea25dd0e78956716,0.9155,1,112,9,51e7b224ddb318d1,-0.9265,1,112,9,230bd81105cb6279,206.0446289833635,14.720301987836137,908.4865340264514,1129.251464997651,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.0517068179629165,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,38,1790313227.1248434,701.140625,3.39377298951149,78.62299401313066,3984.089083998697,4066.105851001339,-0.9185,1,112,9,206b23e28556b8c1,0.9225,1,112,9,ea25dd0e78956716,0.92,1,112,9,51e7b224ddb318d1,-0.921,1,112,9,230bd81105cb6279,207.07345000118949,16.049393016146496,811.4037049817853,1034.5265479991212,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05420681796291648,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,39,1790313232.2195883,701.140625,3.5643229784909636,76.08816301217303,3980.4792609938886,4060.1317469845526,-0.9265,1,112,9,206b23e28556b8c1,0.912,1,112,9,ea25dd0e78956716,0.9065,1,112,9,51e7b224ddb318d1,-0.9255,1,112,9,230bd81105cb6279,198.15302299684845,15.651583002181724,813.1467560015153,1026.9513620005455,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05025681796291649,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,40,1790313237.319448,701.140625,3.3807529835030437,75.6361820094753,3973.7401460006367,4052.757080993615,-0.929,1,112,9,206b23e28556b8c1,0.922,1,112,9,ea25dd0e78956716,0.9155,1,112,9,51e7b224ddb318d1,-0.918,1,112,9,230bd81105cb6279,198.60846200026572,14.679312007501721,825.8565569994971,1039.1443310072646,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.0444068179629165,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,41,1790313242.4271703,703.140625,3.4903330088127404,77.239792997716,3976.8993880134076,4057.6295140199363,-0.92,1,112,9,206b23e28556b8c1,0.9125,1,112,9,ea25dd0e78956716,0.9165,1,112,9,51e7b224ddb318d1,-0.918,1,112,9,230bd81105cb6279,206.15769899450243,14.707522001117468,821.3582329917699,1042.2234539873898,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.050656817962916496,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,42,1790313247.52702,702.6171875,3.4796219842974097,43.6792760156095,4000.067315995693,4047.2262139956,-0.9175,1,112,9,206b23e28556b8c1,0.9125,1,112,9,ea25dd0e78956716,0.9195,1,112,9,51e7b224ddb318d1,-0.915,1,112,9,230bd81105cb6279,195.4146950156428,16.464134998386726,833.6536590068135,1045.532489020843,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.049209468638849764,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,43,1790313252.6283998,702.6171875,5.404135008575395,78.38463399093598,3963.769611000316,4047.5583799998276,-0.93,1,112,9,206b23e28556b8c1,0.923,1,112,9,ea25dd0e78956716,0.922,1,112,9,51e7b224ddb318d1,-0.9235,1,112,9,230bd81105cb6279,206.91420600633137,15.432014974066988,821.964098024182,1044.3103190045804,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05175681796291651,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,44,1790313257.7237968,702.6171875,5.464065005071461,79.29973502177745,3962.0334899809677,4046.7972900078166,-0.9225,1,112,9,206b23e28556b8c1,0.915,1,112,9,ea25dd0e78956716,0.9185,1,112,9,51e7b224ddb318d1,-0.923,1,112,9,230bd81105cb6279,208.11819701339118,15.702734992373735,816.9352329859976,1040.7561649917625,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.047685934944506986,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
