part,spare,seed,mode,rep,component,seconds,count
A,0,1,instrumented,2,cx_cache_hit,,0
A,0,1,instrumented,2,cx_cache_miss,,60
A,0,1,instrumented,3,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.007664342999987639,1
A,0,1,instrumented,3,A1b.1 core decompose (Rust),0.0007340849999195598,60
A,0,1,instrumented,3,A1b.2 polish (check + Gauss-Newton),0.014901013000041985,60
A,0,1,instrumented,3,A1b.3a cx core lookup/build,0.019204552000246622,60
A,0,1,instrumented,3,A1b.3 build circuit (incl. CX core),0.025970519000225067,60
A,0,1,instrumented,3,A1b  synthesize [all blocks],0.04344782099985878,60
A,0,1,instrumented,3,A1 psf.compile [total],0.05329175000002806,1
A,0,1,instrumented,3,A2a  matching check (networkx),0.0022298760000012408,1
A,0,1,instrumented,3,A2b  orderings,0.00020466899997018118,1
A,0,1,instrumented,3,A2c  relabel graph,7.520299999441704e-05,2
A,0,1,instrumented,3,A2d  vf2_mapping (rustworkx),0.012620242000025428,2
A,0,1,instrumented,3,A2 layout search [total],0.015254906000052415,1
A,0,1,instrumented,3,A3 layout map -> list,1.042899998537905e-05,1
A,0,1,instrumented,3,A4 qiskit transpile L1 [total],0.013848820000021078,1
A,0,1,instrumented,3,A0 compile_for_hardware [total],0.0830503599999588,
A,0,1,instrumented,3,"A1c  compile other (to_matrix, compose, loop)",0.0021795860001816436,
A,0,1,instrumented,3,"A1b.4 synthesize other (tolist, verify, checks)",0.001842203999672165,
A,0,1,instrumented,3,"A5 compile_for_hardware other (pair collection, import)",0.0006444549998718685,
A,0,1,instrumented,3,refine_triggered,,18
A,0,1,instrumented,3,cx_cache_hit,,0
A,0,1,instrumented,3,cx_cache_miss,,60
A,0,1,instrumented,4,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.007723811999994723,1
A,0,1,instrumented,4,A1b.1 core decompose (Rust),0.0007425719999787361,60
A,0,1,instrumented,4,A1b.2 polish (check + Gauss-Newton),0.014371857999947224,60
A,0,1,instrumented,4,A1b.3a cx core lookup/build,0.018126424000172392,60
A,0,1,instrumented,4,A1b.3 build circuit (incl. CX core),0.025306280000222614,60
A,0,1,instrumented,4,A1b  synthesize [all blocks],0.04222469100017179,60
A,0,1,instrumented,4,A1 psf.compile [total],0.052079363000018475,1
A,0,1,instrumented,4,A2a  matching check (networkx),0.0021630179999760912,1
A,0,1,instrumented,4,A2b  orderings,0.0002274319999742147,1
A,0,1,instrumented,4,A2c  relabel graph,7.650500003819616e-05,2
A,0,1,instrumented,4,A2d  vf2_mapping (rustworkx),0.012795493999988139,2
A,0,1,instrumented,4,A2 layout search [total],0.01537326100003611,1
A,0,1,instrumented,4,A3 layout map -> list,1.033899997082699e-05,1
A,0,1,instrumented,4,A4 qiskit transpile L1 [total],0.01470934999997553,1
A,0,1,instrumented,4,A0 compile_for_hardware [total],0.0826338010000427,
A,0,1,instrumented,4,"A1c  compile other (to_matrix, compose, loop)",0.002130859999851964,
A,0,1,instrumented,4,"A1b.4 synthesize other (tolist, verify, checks)",0.0018039810000232137,
A,0,1,instrumented,4,"A5 compile_for_hardware other (pair collection, import)",0.0004614880000417543,
A,0,1,instrumented,4,refine_triggered,,18
A,0,1,instrumented,4,cx_cache_hit,,0
A,0,1,instrumented,4,cx_cache_miss,,60
A,0,2,plain,0,total,0.08220000699998309,1
A,0,2,plain,1,total,0.0804848379999612,1
