global_call_index,elapsed_since_start_s,arm,seed,repeat,time_ms,error,fallback_count,gc_gen0_count_before,gc_gen0_count_after,gc_collections_gen0_before,gc_collections_gen1_before,gc_collections_gen2_before,gc_collections_gen0_after,gc_collections_gen1_after,gc_collections_gen2_after,top_pass_name,top_pass_time_ms,top_pass_share,n_passes,total_pass_time_ms,disable_gc,routing_optimization_level,grid_rows,grid_cols,seed_transpiler,cpu,python_version,qiskit_version,is_outlier,_median_ms_nosearch,_median_ms_search
77,3.4391633999998703,search,101,17,22.13379999989229,,0,266159,267214,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
78,3.4590392999998585,search,101,18,19.84549999997398,,0,267215,268270,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
79,3.4775038000000222,search,101,19,18.439500000113185,,0,268271,269326,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
80,3.544226399999843,nosearch,102,0,23.322499999949287,,0,271864,272732,329,29,2,329,29,2,VF2Layout,17.139196395874023,1.0,39,17.139196395874023,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
81,3.5731031000000257,nosearch,102,1,28.846300000168412,,0,272733,273592,329,29,2,329,29,2,SabreLayout,15.740633010864258,0.9550129464350291,39,16.482114791870117,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
82,3.6020300999998653,nosearch,102,2,28.895000000147775,,0,273593,274449,329,29,2,329,29,2,VF2PostLayout,16.07656478881836,0.8886165362009436,39,18.091678619384766,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
83,3.62572299999988,nosearch,102,3,23.662199999989753,,0,274450,275306,329,29,2,329,29,2,VF2Layout,12.212276458740234,1.0,39,12.212276458740234,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
84,3.648266700000022,nosearch,102,4,22.51339999997981,,0,275307,276163,329,29,2,329,29,2,VF2PostLayout,15.131711959838867,1.0,39,15.131711959838867,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
85,3.671058099999982,nosearch,102,5,22.761599999967075,,0,276164,277020,329,29,2,329,29,2,VF2Layout,15.768766403198242,0.8764892193111491,39,17.990827560424805,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
86,3.6947004999999535,nosearch,102,6,23.611300000084157,,0,277021,277877,329,29,2,329,29,2,Optimize1qGatesDecomposition,15.395164489746094,1.0,39,15.395164489746094,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
87,3.720572999999831,nosearch,102,7,25.83720000006906,,0,277878,278734,329,29,2,329,29,2,VF2PostLayout,16.345977783203125,1.0,39,16.345977783203125,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
88,3.7454291999999896,nosearch,102,8,24.817699999857723,,0,278735,279591,329,29,2,329,29,2,Optimize1qGatesDecomposition,16.001224517822266,0.8973539597010336,39,17.83156394958496,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
89,3.768736699999863,nosearch,102,9,23.27689999992799,,0,279592,280448,329,29,2,329,29,2,VF2PostLayout,16.994476318359375,1.0,39,16.994476318359375,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
90,3.792088199999853,nosearch,102,10,23.31899999990128,,0,280449,281305,329,29,2,329,29,2,VF2Layout,18.843650817871094,1.0,39,18.843650817871094,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
91,3.816829699999971,nosearch,102,11,24.706500000093,,0,281306,282162,329,29,2,329,29,2,VF2PostLayout,16.21222496032715,1.0,39,16.21222496032715,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
92,3.84457969999994,nosearch,102,12,27.70480000003772,,0,282163,283019,329,29,2,329,29,2,VF2Layout,17.343759536743164,0.5295089604169396,39,32.75442123413086,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
93,3.8673937999999453,nosearch,102,13,22.78019999994285,,0,283020,283876,329,29,2,329,29,2,VF2PostLayout,16.396760940551758,1.0,39,16.396760940551758,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
