spare,n,occupancy,seed,arm,repeat,elapsed_since_start_s,total_ms,placement_ms,routing_ms,rebase_ms,two_qubit_gates,depth,violations,error,peephole_ms,cpu,platform,python_version,qiskit_version,pytket_version,grid_rows,grid_cols,gates_per_pair,tket_timeout_ms,tket_max_matches,with_peephole
1,41,0.9761904761904762,1,tket_placement_routing,0,239.92958480000016,149.99180000086199,122.43759999910253,27.554200001759455,781.7967000009958,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,tket_placement_routing,1,242.18378799999846,206.0438999978942,143.75549999749637,62.288400000397814,950.1645999989705,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,tket_placement_routing,2,245.6372616999979,54.93269999715267,41.734899998118635,13.197799999034032,285.5829000000085,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,tket_default_mapping,0,247.95011949999753,96.54500000033295,,,299.98239999986254,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,tket_default_mapping,1,249.1859067999976,97.77360000225599,,,296.8451000015193,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,tket_default_mapping,2,250.41971740000008,95.25559999747202,,,284.8221999993257,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,qiskit_opt1,0,251.71422109999912,19.961399997555418,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,qiskit_opt1,1,251.76249659999667,20.04999999917345,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,qiskit_opt1,2,251.81140869999945,31.316000000515487,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,qiskit_opt3,0,251.89540269999998,22.172500001033768,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,qiskit_opt3,1,251.9189140999988,22.4696999976004,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,qiskit_opt3,2,251.94274949999817,20.57989999957499,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,tket_placement_routing,0,253.0859743999972,52.54190000050585,40.116100000886945,12.425799999618903,289.77589999703923,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,tket_placement_routing,1,254.22620889999962,52.4833999988914,40.050899999187095,12.432499999704305,286.39660000044387,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,tket_placement_routing,2,255.3548004999975,53.176500001427485,39.54650000014226,13.630000001285225,290.17479999674833,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
