backend,twoq,tape_seed,arm,routed_2q,n_1q,size,depth,tvd_noisy,psf_fallbacks
FakeKyoto,ecr,4,T,6,74,80,23,0.5269793375523528,
FakeMarrakesh,cz,0,A,6,70,76,22,0.01512946863871526,
FakeMarrakesh,cz,0,Z,6,66,72,23,0.015069468638715262,
FakeMarrakesh,cz,0,P,6,66,72,23,0.015506817962825045,0
FakeMarrakesh,cz,0,T,6,58,64,19,0.014256817962825014,
FakeMarrakesh,cz,1,A,6,70,76,22,0.010232427230194765,
FakeMarrakesh,cz,1,Z,6,66,72,23,0.010242427230194761,
FakeMarrakesh,cz,1,P,6,66,72,23,0.010292427230194762,0
FakeMarrakesh,cz,1,T,6,58,64,19,0.008921732348792805,
FakeMarrakesh,cz,2,A,6,70,76,22,0.010404503929868136,
FakeMarrakesh,cz,2,Z,6,66,72,23,0.010464503929868132,
FakeMarrakesh,cz,2,P,6,66,72,23,0.010464503929868132,0
FakeMarrakesh,cz,2,T,6,58,64,19,0.009367304604452717,
FakeMarrakesh,cz,3,A,6,70,76,22,0.007642593369347072,
FakeMarrakesh,cz,3,Z,6,66,72,23,0.007612593369347076,
FakeMarrakesh,cz,3,P,6,66,72,23,0.0075725933693470745,0
FakeMarrakesh,cz,3,T,6,58,64,19,0.007763417799060422,
FakeMarrakesh,cz,4,A,6,70,76,22,0.01119242028554847,
FakeMarrakesh,cz,4,Z,6,66,72,23,0.011242420285548477,
FakeMarrakesh,cz,4,P,6,66,72,23,0.01094242028554848,0
FakeMarrakesh,cz,4,T,6,58,64,19,0.011789337552352869,
FakeMiami,cz,0,A,6,70,76,22,0.030466817962825035,
FakeMiami,cz,0,Z,6,66,72,23,0.030436817962825026,
FakeMiami,cz,0,P,6,66,72,23,0.030786817962825022,0
FakeMiami,cz,0,T,6,58,64,19,0.02858681796282502,
FakeMiami,cz,1,A,6,70,76,22,0.015202427230194757,
FakeMiami,cz,1,Z,6,66,72,23,0.015232427230194757,
FakeMiami,cz,1,P,6,66,72,23,0.015312427230194756,0
FakeMiami,cz,1,T,6,58,64,19,0.018269909830108583,
FakeMiami,cz,2,A,6,70,76,22,0.01472761477601171,
FakeMiami,cz,2,Z,6,66,72,23,0.014677614776011698,
FakeMiami,cz,2,P,6,66,72,23,0.014677614776011698,0
FakeMiami,cz,2,T,6,58,64,19,0.016360953482660374,
FakeMiami,cz,3,A,6,70,76,22,0.01185575707336344,
FakeMiami,cz,3,Z,6,66,72,23,0.011865757073363452,
FakeMiami,cz,3,P,6,66,72,23,0.011825757073363447,0
FakeMiami,cz,3,T,6,58,64,19,0.012356920410760744,
FakeMiami,cz,4,A,6,70,76,22,0.019879337552352862,
